Date Time,Temperature
28/01/2018 10:00:00,23.2
28/01/2018 10:30:00,24.1
28/01/2018 11:00:00,24.3
28/01/2018 11:30:00,24.5
28/01/2018 12:00:00,24.2
28/01/2018 12:30:00,24.7
28/01/2018 13:00:00,24.9
28/01/2018 13:30:00,25.6
28/01/2018 13:58:00,26.8
28/01/2018 14:00:00,27.3
28/01/2018 14:30:00,27.2
28/01/2018 15:00:00,27.9
28/01/2018 15:30:00,28
28/01/2018 16:00:00,28.1
28/01/2018 16:30:00,28.6
28/01/2018 17:00:00,28.6
28/01/2018 17:30:00,28.3
28/01/2018 18:00:00,27.8
28/01/2018 18:30:00,27.3
28/01/2018 19:00:00,26.3
28/01/2018 19:30:00,25.4
28/01/2018 20:00:00,24.5
28/01/2018 20:30:00,24.1
28/01/2018 21:00:00,23.5
28/01/2018 21:30:00,23.2
28/01/2018 22:00:00,22.6
28/01/2018 22:02:00,22.5
28/01/2018 22:30:00,22.1
28/01/2018 22:57:00,21
28/01/2018 23:00:00,20.8
28/01/2018 23:30:00,19.7
29/01/2018 00:00:00,18.9
29/01/2018 00:08:00,18.7
29/01/2018 00:30:00,18.1
29/01/2018 01:00:00,17.6
29/01/2018 01:30:00,17.2
29/01/2018 02:00:00,16.9
29/01/2018 02:30:00,16.5
29/01/2018 03:00:00,16.3
29/01/2018 03:30:00,16.1
29/01/2018 04:00:00,16
29/01/2018 04:30:00,16
29/01/2018 05:00:00,15.8
29/01/2018 05:30:00,15.8
29/01/2018 06:00:00,15.9
29/01/2018 06:30:00,16.5
29/01/2018 06:32:00,16.6
29/01/2018 07:00:00,17.5
29/01/2018 07:30:00,18.5
29/01/2018 08:00:00,19.4
29/01/2018 08:26:00,20.3
29/01/2018 08:30:00,20.3
29/01/2018 09:00:00,21.1
29/01/2018 09:21:00,21.9
29/01/2018 09:30:00,21.4
29/01/2018 09:38:00,21.9
29/01/2018 10:00:00,23.2
29/01/2018 10:30:00,23.6
29/01/2018 11:00:00,24.4
29/01/2018 11:30:00,25.4
29/01/2018 11:33:00,25.3
29/01/2018 12:00:00,25.4
29/01/2018 12:04:00,26.3
29/01/2018 12:30:00,26.6
29/01/2018 12:54:00,27.3
29/01/2018 13:00:00,27.4
29/01/2018 13:05:00,27.5
29/01/2018 13:30:00,28.2
29/01/2018 13:40:00,28.5
29/01/2018 14:00:00,28.8
29/01/2018 14:07:00,28.8
29/01/2018 14:12:00,29
29/01/2018 14:19:00,28.8
29/01/2018 14:25:00,29.1
29/01/2018 14:30:00,28.6
29/01/2018 14:40:00,29.2
29/01/2018 14:42:00,29
29/01/2018 15:00:00,30
29/01/2018 15:14:00,29.3
29/01/2018 15:30:00,30
29/01/2018 16:00:00,29.6
29/01/2018 16:01:00,29.6
29/01/2018 16:30:00,29.7
29/01/2018 17:00:00,29.7
29/01/2018 17:05:00,29.6
29/01/2018 17:30:00,29.2
29/01/2018 17:47:00,29.1
29/01/2018 18:00:00,28.8
29/01/2018 18:30:00,28.2
29/01/2018 19:00:00,27.5
29/01/2018 19:30:00,26.2
29/01/2018 20:00:00,25.4
29/01/2018 20:17:00,24.7
29/01/2018 20:30:00,24.5
29/01/2018 20:42:00,24.2
29/01/2018 21:00:00,23.4
29/01/2018 21:07:00,23.3
29/01/2018 21:30:00,22.5
29/01/2018 21:34:00,22.4
29/01/2018 22:00:00,21.5
29/01/2018 22:30:00,20.6
29/01/2018 23:00:00,19.9
29/01/2018 23:08:00,19.7
29/01/2018 23:30:00,19.2
30/01/2018 00:00:00,18.4
30/01/2018 00:12:00,18.2
30/01/2018 00:30:00,17.9
30/01/2018 00:31:00,17.9
30/01/2018 01:00:00,17.6
30/01/2018 01:19:00,17.2
30/01/2018 01:30:00,17.2
30/01/2018 02:00:00,17
30/01/2018 02:30:00,16.8
30/01/2018 02:36:00,16.7
30/01/2018 03:00:00,16.7
30/01/2018 03:13:00,16.5
30/01/2018 03:30:00,16.5
30/01/2018 04:00:00,16.4
30/01/2018 04:15:00,16.3
30/01/2018 04:30:00,16.3
30/01/2018 04:45:00,16.1
30/01/2018 05:00:00,16.1
30/01/2018 05:30:00,16.2
30/01/2018 06:00:00,16.1
30/01/2018 06:13:00,16.3
30/01/2018 06:30:00,16.6
30/01/2018 07:00:00,17.6
30/01/2018 07:30:00,18.3
30/01/2018 07:50:00,19.1
30/01/2018 08:00:00,19.3
30/01/2018 08:25:00,20.1
30/01/2018 08:30:00,20
30/01/2018 09:00:00,21.3
30/01/2018 09:30:00,21.9
30/01/2018 09:53:00,22.5
30/01/2018 10:00:00,22.6
30/01/2018 10:30:00,23.9
30/01/2018 11:00:00,24.4
30/01/2018 11:30:00,24.7
30/01/2018 11:34:00,25.1
30/01/2018 12:00:00,26
30/01/2018 12:03:00,25.7
30/01/2018 12:30:00,26.3
30/01/2018 12:36:00,25.9
30/01/2018 13:00:00,26.9
30/01/2018 13:03:00,26.9
30/01/2018 13:30:00,27.4
30/01/2018 13:38:00,27.7
30/01/2018 13:44:00,27.3
30/01/2018 13:59:00,28.3
30/01/2018 14:00:00,28.2
30/01/2018 14:13:00,28.4
30/01/2018 14:30:00,28.5
30/01/2018 14:34:00,27.9
30/01/2018 15:00:00,28.7
30/01/2018 15:30:00,29.2
30/01/2018 15:33:00,29.1
30/01/2018 16:00:00,29.4
30/01/2018 16:30:00,29.2
30/01/2018 17:00:00,29.2
30/01/2018 17:30:00,28.8
30/01/2018 18:00:00,28.4
30/01/2018 18:30:00,27.7
30/01/2018 18:44:00,27.3
30/01/2018 19:00:00,26.8
30/01/2018 19:30:00,26
30/01/2018 20:00:00,24.9
30/01/2018 20:30:00,24
30/01/2018 21:00:00,23.9
30/01/2018 21:30:00,24.3
30/01/2018 21:59:00,23.5
30/01/2018 22:00:00,23.5
30/01/2018 22:14:00,23.1
30/01/2018 22:30:00,22.3
30/01/2018 22:55:00,21.6
30/01/2018 23:00:00,21.4
30/01/2018 23:20:00,20.8
30/01/2018 23:30:00,20.7
30/01/2018 23:33:00,20.5
